Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8342580k(2185872k free), swap 10043876k(2198336k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2017-11-18T17:28:12.101+0300: 10.751: [GC (Allocation Failure) 2017-11-18T17:28:12.101+0300: 10.751: [DefNew: 149221K->9439K(157248K), 0.0199164 secs] 343758K->205374K(506816K), 0.0199771 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:12.178+0300: 10.828: [GC (Allocation Failure) 2017-11-18T17:28:12.178+0300: 10.828: [DefNew: 149215K->9794K(157248K), 0.0201286 secs] 345150K->206781K(506816K), 0.0201932 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:12.255+0300: 10.905: [GC (Allocation Failure) 2017-11-18T17:28:12.255+0300: 10.905: [DefNew: 149570K->9787K(157248K), 0.0205645 secs] 346557K->208172K(506816K), 0.0206448 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:12.333+0300: 10.983: [GC (Allocation Failure) 2017-11-18T17:28:12.333+0300: 10.983: [DefNew: 149563K->9797K(157248K), 0.0195790 secs] 347948K->209580K(506816K), 0.0196408 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:12.413+0300: 11.062: [GC (Allocation Failure) 2017-11-18T17:28:12.413+0300: 11.062: [DefNew: 149573K->9790K(157248K), 0.0200640 secs] 349356K->210971K(506816K), 0.0201244 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:12.491+0300: 11.140: [GC (Allocation Failure) 2017-11-18T17:28:12.491+0300: 11.140: [DefNew: 149566K->9784K(157248K), 0.0193752 secs] 350747K->212362K(506816K), 0.0194368 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:12.568+0300: 11.217: [GC (Allocation Failure) 2017-11-18T17:28:12.568+0300: 11.217: [DefNew: 149560K->9793K(157248K), 0.0197190 secs] 352138K->213769K(506816K), 0.0197809 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:12.645+0300: 11.294: [GC (Allocation Failure) 2017-11-18T17:28:12.645+0300: 11.294: [DefNew: 149569K->9787K(157248K), 0.0195563 secs] 353545K->215161K(506816K), 0.0196375 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
2017-11-18T17:28:12.722+0300: 11.371: [GC (Allocation Failure) 2017-11-18T17:28:12.722+0300: 11.371: [DefNew: 149563K->9781K(157248K), 0.0205657 secs] 354937K->216552K(506816K), 0.0206306 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:12.800+0300: 11.449: [GC (Allocation Failure) 2017-11-18T17:28:12.800+0300: 11.450: [DefNew: 149557K->9790K(157248K), 0.0196010 secs] 356328K->217959K(506816K), 0.0196674 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:12.877+0300: 11.526: [GC (Allocation Failure) 2017-11-18T17:28:12.877+0300: 11.526: [DefNew: 149566K->9783K(157248K), 0.0196725 secs] 357735K->219350K(506816K), 0.0197344 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:12.953+0300: 11.603: [GC (Allocation Failure) 2017-11-18T17:28:12.953+0300: 11.603: [DefNew: 149559K->9798K(157248K), 0.0194310 secs] 359126K->220758K(506816K), 0.0194932 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2017-11-18T17:28:13.030+0300: 11.680: [GC (Allocation Failure) 2017-11-18T17:28:13.030+0300: 11.680: [DefNew: 149574K->9791K(157248K), 0.0193224 secs] 360534K->222149K(506816K), 0.0193948 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
